acct_id,tx_date,amount,type
b2fb7aae,20140630,-1.0,pos_wd_cash
b771f6d1,20140606,30.0,dep_pos_cash
20667d6c,20131105,70.0,dep_pos_cash
5f8ea990,20140606,5.0,sys_rev_of_dr
0253e3e9,20140606,-30.0,wd_atm_cash
dcb8a878,20131119,-50.0,wd_atm_cash
895a829b,20140606,-200.0,wd_atm_cash
9e10b80e,20140606,5.0,sys_rev_of_dr
fc173d50,20140106,5.0,sys_rev_of_dr
1da6bd78,20140630,-1.0,pos_wd_cash
91fcef48,20140630,-1.0,pos_wd_cash
922ba6c6,20140606,-100.0,wd_atm_cash
bcaaeaf5,20140630,-1.0,pos_wd_cash
2054c55e,20140630,-1.0,pos_wd_cash
50e53442,20140606,5.0,sys_rev_of_dr
33b7e9ad,20140630,-1.0,pos_wd_cash
ac50b52e,20140106,5.0,sys_rev_of_dr
f9e4c45d,20140630,-1.0,pos_wd_cash
d2b69e11,20140630,-1.0,pos_wd_cash
abc092c6,20140606,60.0,dep_pos_cash
ff33f2ab,20140606,700.0,dep_pos_cash
a0b2e734,20140606,750.0,dep_pos_cash
5686fcc2,20140630,-1.0,pos_wd_cash
ca5542d2,20140630,-1.0,pos_wd_cash
cae3d79f,20140630,-1.0,pos_wd_cash
c16645f5,20140630,-1.0,pos_wd_cash
cd040257,20140606,5.0,sys_rev_of_dr
7a0ea23b,20140630,-1.0,pos_wd_cash
c35e8e9f,20140630,-1.0,pos_wd_cash
dcb8a878,20131105,-0.2,fee_pos_bal_inq
1161282b,20140106,100.0,dep_pos_cash
f1ce9c7b,20140630,-1.0,pos_wd_cash
a1c54916,20140106,-250.0,pos_wd_cash
a1c54916,20140106,-0.2,fee_pos_wd_cash
efa43020,20140630,-1.0,pos_wd_cash
9949d642,20140606,5.0,sys_rev_of_dr
8559bb01,20140630,-1.0,pos_wd_cash
895a829b,20140606,-200.0,wd_atm_cash
f5352f36,20140630,-1.0,pos_wd_cash
8b65d2b4,20140630,-1.0,pos_wd_cash
d3e9b9c3,20140630,-1.0,pos_wd_cash
b9424e15,20140630,-1.0,pos_wd_cash
677af39b,20140630,-1.0,pos_wd_cash
903b04d0,20140630,-1.0,pos_wd_cash
78f160a6,20140630,-1.0,pos_wd_cash
9fad5625,20140630,-1.0,pos_wd_cash
65f7a038,20130815,5.0,sys_rev_of_dr
d5d9e5ee,20140630,-1.0,pos_wd_cash
bbeeda21,20140630,-1.0,pos_wd_cash
b82037aa,20151017,-50.0,wd_atm_cash
