acct_id,bal_date,balance
e281ed96,20130729,5.0
e582649b,20130729,5.0
e281ed96,20130729,4.9
1ddd8bc1,20140428,5.0
17ff5cea,20130816,5.0
acb8d4cb,20130816,5.0
1d05b79f,20130731,4.0
879ea09c,20130731,5.0
e62fe94d,20130816,5.0
3116fabc,20130730,5.0
7624149c,20140721,405.0
3f7653c6,20130731,12.8
01853b3e,20130801,5.0
d96a3a0b,20130801,5.0
e281ed96,20130731,3.9
0f91c098,20130730,5.0
acb8d4cb,20131119,8.2
1524ac07,20130801,5.0
e582649b,20130731,4.0
16ec6d57,20130731,2.0
1d05b79f,20130731,5.0
bd7792a7,20130731,7.2
22f1e87d,20130731,15.04592
b4771dbf,20130731,2.0
7bcf3441,20140505,55.0
2601906a,20140505,154.0
b3a44db5,20140505,15.39024
400e45eb,20130802,5.0
4b100afa,20130802,5.0
8ef59c6c,20130731,5.0
4d10681e,20130731,5.0
d8a06153,20140121,5.0
ea2375c0,20140121,5.0
92e55cdf,20130731,4.0
68a3a3fc,20140121,2.8
d4172615,20140505,15.0
28598fdc,20140121,5.0
fc173d50,20140121,35.0
43c80c9c,20140121,5.0
c588e1af,20140121,5.0
68a3a3fc,20140121,2.85
216302fb,20140505,174.0
216302fb,20140505,24.0
60b22215,20140505,55.0
64b5d16f,20130802,5.0
6acc6b47,20140121,5.0
895a829b,20140121,5.0
d47cd4b7,20140121,5.0
b4111440,20140121,5.0
b3908458,20140106,205.0
bf1854e0,20140106,5.0
bd7792a7,20130805,8.2
bd7792a7,20130805,8.0
dcb8a878,20131104,103.37762
bd7792a7,20130805,108.2
93e525c9,20140505,204.0
8decc868,20140505,5.0
0a8bab0c,20140505,5.0
1e175d13,20130805,5.0
7af13f0e,20140505,105.0
7e3e21a9,20140121,5.0
21bc2b65,20140630,31.1
bd7792a7,20140630,4.3
16b132e8,20130806,5.0
ea76af08,20140106,5.0
954a034b,20140106,205.0
020be9de,20131119,5.0
ffeb404e,20140505,5.0
e8dd103e,20140505,35.0
605524a2,20140630,7.35
7de85338,20140630,467.0
d47cd4b7,20140630,13.7
f5bdebed,20140630,15.0
776ba8bd,20140505,5.0
ac22657e,20140630,317.0
18abc463,20140630,1399.0
8b363164,20140630,9.0
6267ac21,20140630,4.4
9a7a9905,20140630,198.8
c9a126bc,20140630,26.5
694157a8,20140630,0.0
f3cf6470,20140630,598.7
fe4b8784,20140630,19.0
3bc1d2a6,20131202,64.0
aa5a6ce4,20140630,14.0
ea2375c0,20140630,804.0
8748d503,20140630,28.0
adafeb54,20130807,5.0
004e8beb,20140630,4.0
056a11e1,20140630,4.0
dcb8a878,20131119,82.17762
dcb8a878,20131119,81.17762
5730b681,20140630,228.0
4063d198,20130807,5.0
2de37cc6,20140630,8.0
dc8b1bea,20140630,0.0
dc7d9e72,20140630,1148.7
895d14a5,20140630,0.0
91e1bf5e,20140630,19.0
a19ec8a8,20140630,3.0
33886f6b,20140630,4.58
8ef278cb,20130812,5.0
6e3d6410,20140630,62.7
2cfb36c7,20140630,0.0
a0b2e734,20140630,599.0
28598fdc,20140630,23.4
868e145a,20140630,0.0
6c9204ca,20130813,5.0
ba714d12,20131119,40.0
dcb8a878,20131119,30.17762
75257215,20140630,0.0
80c2bb28,20140630,449.0
b4b8377d,20140505,55.0
e1c71600,20140630,4.0
95a8d4a2,20140630,1.0
5e875c01,20140630,9.0
04bd41c5,20140630,0.95
216302fb,20140505,124.0
dcb8a878,20131119,182.17762
31a66314,20140630,2.0
b7c0fb5c,20140505,40.04547
26ece35f,20140505,6.9
d3e9b9c3,20140505,212.8
c9233b13,20140505,185.01729
2e2c2219,20140630,1.0
fdbf58b7,20130813,5.0
ec59eef8,20140630,7.6
335ba241,20140630,17.0
70a5adaa,20140630,44.7
3524c12d,20140630,17.6
e527061e,20140505,24.0
3bc1d2a6,20140630,26.7
